,address,district,S.A ft,deal date,deal price
0,Victory Court・Lower Floor・Flat D,Tsuen Wan Town Centre,S.A. 391 ft²,"
                2022-04-30
              ","$  12,500"
1,Parker33・Upper Floor・Flat B,Sai Wan Ho,S.A. 210 ft²,"
                2022-04-30
              ","$  10,800"
2,The Long Beach・Tower 6・Upper Floor・Flat A,Olympic Station,S.A. 548 ft²,"
                2022-04-30
              ","$  21,500"
3,Lohas Park・Phase 9B Grand Marini・Tower 2 (2A)・Middle Floor・Flat B,Lohas Park,S.A. 807 ft²,"
                2022-04-30
              ","$  26,800"
4,Lohas Park・Phase 7A Montara・Tower 2 (2A)・Upper Floor・Flat B,Lohas Park,S.A. 775 ft²,"
                2022-04-30
              ","$  21,000"
5,The Beaumount・Phase 1・Tower 2・Middle Floor・Flat B,Lohas Park,S.A. 498 ft²,"
                2022-04-30
              ","$  13,800"
6,Lohas Park・Phase 6 Lp6・Tower 5・Upper Floor・Flat E,Lohas Park,S.A. 316 ft²,"
                2022-04-30
              ","$  12,500"
7,Stubbs Villa・Lower Floor・Flat B,Mid-Levels East,"S.A. 2,137 ft²","
                2022-04-30
              ","$  80,000"
8,Coastal Skyline・Phase 1・Block 3・Lower Floor・Flat G,Tung Chung Town Centre,S.A. 388 ft²,"
                2022-04-30
              ","$  11,500"
9,The Horizon・Phase 2 Centra Horizon・Tower 5・Upper Floor・Flat G,Pak Shek Kok | Tai Po Mid-levels,S.A. 604 ft²,"
                2022-04-30
              ","$  19,800"
10,Seaview Crescent・Block 2・Lower Floor・Flat H,Tung Chung Town Centre,S.A. 562 ft²,"
                2022-04-30
              ","$  15,500"
11,Lohas Park・Phase 7A Montara・Tower 2 (2B)・Upper Floor・Flat D,Lohas Park,S.A. 482 ft²,"
                2022-04-30
              ","$  15,000"
12,K‧Summit・Tower 2B・Middle Floor・Flat C,Kai Tak New Area,S.A. 460 ft²,"
                2022-04-30
              ","$  16,000"
13,Alpine Garden・Block 4・Lower Floor・Flat F,Chi Lok,S.A. 580 ft²,"
                2022-04-30
              ","$  12,500"
14,Banyan Garden・Phase 3・Tower 6・Middle Floor・Flat B,Four Little Dragons,S.A. 512 ft²,"
                2022-04-30
              ","$  17,000"
15,Metro Town・Phase 1・Tower 3・Lower Floor・Flat C,Tiu Keng Leng,S.A. 629 ft²,"
                2022-04-30
              ","$  19,000"
16,Sol City・Tower 2・Middle Floor・Flat F,Long Ping,S.A. 532 ft²,"
                2022-04-30
              ","$  15,500"
17,Cullinan West・Phase 2A・Tower 1B・Middle Floor・Flat B,Nam Cheong Station,S.A. 440 ft²,"
                2022-04-29
              ","$  23,000"
18,Lohas Park・Phase 8 Sea To Sky・Tower 3・Upper Floor・Flat A,Lohas Park,"S.A. 1,054 ft²","
                2022-04-29
              ","$  36,000"
19,Lohas Park・Phase 7B Grand Montara・Tower 1 (1A)・Lower Floor・Flat A,Lohas Park,S.A. 789 ft²,"
                2022-04-29
              ","$  23,800"
20,Upper Riverbank・Tower 2・Upper Floor・Flat G,Kai Tak New Area,S.A. 654 ft²,"
                2022-04-29
              ","$  25,000"
21,The Regent・Tower 15・Lower Floor・Flat G,Pak Shek Kok | Tai Po Mid-levels,S.A. 457 ft²,"
                2022-04-29
              ","$  15,800"
22,Conduit Tower・Middle Floor・Flat D,Mid-Levels West,S.A. 705 ft²,"
                2022-04-29
              ","$  32,000"
23,K‧Summit・Tower 1A・Middle Floor・Flat D,Kai Tak New Area,S.A. 451 ft²,"
                2022-04-29
              ","$  16,500"
24,Beverly Hill・Block F・Lower Floor・Flat 2,Happy Valley,"S.A. 1,346 ft²","
                2022-04-27
              ","$  55,000"
25,Lohas Park・Phase 9B Grand Marini・Tower 2 (2B)・Lower Floor・Flat A,Lohas Park,S.A. 785 ft²,"
                2022-04-27
              ","$  23,500"
26,One Wanchai・Lower Floor・Flat B,Wan Chai,S.A. 320 ft²,"
                2022-04-27
              ","$  14,800"
27,Roc Ye Court・Lower Floor・Flat A,Mid-Levels West,S.A. 792 ft²,"
                2022-04-27
              ","$  27,500"
28,Festival City・Phase 2・Tower 2・Middle Floor・Flat Sc,Tai Wai,S.A. 784 ft²,"
                2022-04-27
              ","$  24,000"
29,Upper Riverbank・Tower 2・Middle Floor・Flat J,Kai Tak New Area,S.A. 332 ft²,"
                2022-04-27
              ","$  15,000"
30,The Zenith・Phase 1・Tower 1・Upper Floor・Flat D,Wan Chai,S.A. 612 ft²,"
                2022-04-27
              ","$  31,500"
31,Yoho Town・Phase 2 Yoho Midtown・Block M1・Upper Floor・Flat F,Yuen Long Station,S.A. 445 ft²,"
                2022-04-27
              ","$  15,800"
32,The Richmond・Lower Floor・Flat D,Mid-Levels West,S.A. 283 ft²,"
                2022-04-26
              ","$  17,500"
33,Manhattan Hill・Tower 5・Upper Floor・Flat C,Mei Foo,S.A. 558 ft²,"
                2022-04-26
              ","$  23,000"
34,Solaria・Tower 6・Upper Floor・Flat C,Pak Shek Kok | Tai Po Mid-levels,S.A. 257 ft²,"
                2022-04-26
              ","$  12,000"
35,The Victoria Towers・Tower 1・Lower Floor・Flat A,Tsim Sha Tsui,S.A. 457 ft²,"
                2022-04-26
              ","$  22,000"
36,Grand Promenade・Tower 6・Upper Floor・Flat F,Sai Wan Ho,S.A. 503 ft²,"
                2022-04-26
              ","$  22,000"
37,The Pacifica・Phase 2・Tower 7・Lower Floor・Flat F,Four Little Dragons,S.A. 445 ft²,"
                2022-04-26
              ","$  18,000"
38,The Grandiose・Block 1・Middle Floor・Flat F,Tseung Kwan O,S.A. 456 ft²,"
                2022-04-26
              ","$  16,300"
