,Name,Adress,SA,Date,Rent
0,The Cavaridge,Kau To Shan,"4,430 ft²",2022-05-04,"158,000"
1,The Long Beach・Tower 6・Upper Floor・Flat C,Olympic Station,549 ft²,2022-05-04,"21,500"
2,Harbour Pinnacle・Lower Floor・Flat E,Tsim Sha Tsui,349 ft²,2022-05-04,"21,500"
3,Mantin Heights・Tower 5・Middle Floor・Flat B,Ho Man Tin,698 ft²,2022-05-04,"28,000"
4,Telford Gardens・Block C・Lower Floor・Flat 13,Kowloon Bay,517 ft²,2022-05-04,"15,500"
5,Lohas Park・Phase 9A Marini・Tower 3 (3A)・Lower Floor・Flat F,Lohas Park,467 ft²,2022-05-04,"15,000"
6,Lohas Park・Phase 9B Grand Marini・Tower 2 (2A)・Middle Floor・Flat D,Lohas Park,479 ft²,2022-05-04,"15,500"
7,Metro Harbour View・Phase 2・Tower 10・Middle Floor・Flat A,Tai Kok Tsui,392 ft²,2022-05-04,"14,500"
8,Century Gateway・Phase 1・Tower 1・Middle Floor・Flat H,Tuen Mun Town Centre,722 ft²,2022-05-04,"20,000"
9,The Wings・Ocean Wings・Tower 3・Lower Floor・Flat D,Tseung Kwan O,671 ft²,2022-05-04,"26,000"
10,2Gether・Middle Floor・Flat Se,Tuen Mun Ferry Pier,304 ft²,2022-05-03,"10,800"
11,Regency Bay・Phase 2・Tower 1・Middle Floor・Flat C,Tuen Mun South,367 ft²,2022-05-03,"13,500"
12,City One Shatin・Site 4・Block 43・Middle Floor・Flat E,City One Shatin,284 ft²,2022-05-03,"11,000"
13,Heng Fa Chuen・Block 27・Upper Floor・Flat 3,Heng Fa Chuen,643 ft²,2022-05-03,"25,000"
14,One East Coast・Tower 1A・Upper Floor・Flat B,Yau Tong,301 ft²,2022-05-03,"14,500"
15,Lohas Park・Phase 8 Sea To Sky・Tower 2・Lower Floor・Flat B,Lohas Park,749 ft²,2022-05-03,"20,500"
16,Mayfair By The Sea 8・Tower 1・Upper Floor・Flat C,Pak Shek Kok | Tai Po Mid-levels,795 ft²,2022-05-03,"34,000"
17,The Avenue・Phase 2・Tower 2・Middle Floor・Flat C,Wan Chai,443 ft²,2022-05-03,"23,500"
18,Ocean Shores・Phase 2・Tower 7・Lower Floor・Flat E,Tiu Keng Leng,498 ft²,2022-05-03,"16,500"
19,Park Avenue・Central Park・Tower 1・Upper Floor・Flat H,Olympic Station,595 ft²,2022-05-03,"25,000"
20,Elm Tree Towers・Block A・Upper Floor・Flat 2,Tai Hang Mid-Levels,"1,570 ft²",2022-05-03,"76,800"
21,Kadoorie Villas,Ngau Tam Mei,"1,972 ft²",2022-05-02,"40,000"
22,Rhine Terrace・Middle Floor・Flat F,Sham Tseng,605 ft²,2022-05-02,"15,200"
23,Lohas Park・Phase 7B Grand Montara・Tower 1 (1B)・Middle Floor・Flat B,Lohas Park,366 ft²,2022-05-02,"14,000"
24,Lohas Park・Phase 8 Sea To Sky・Tower 2・Middle Floor・Flat B,Lohas Park,749 ft²,2022-05-02,"22,000"
25,The Wings・The Wings・Tower 1・Upper Floor・Flat D,Tseung Kwan O,533 ft²,2022-05-02,"20,000"
26,Lohas Park・Phase 5A Malibu・Tower 2A・Upper Floor・Flat D,Lohas Park,368 ft²,2022-05-02,"14,700"
27,Grand Central・Phase 1・Tower 2・Lower Floor・Flat H,Kwun Tong,717 ft²,2022-05-02,"24,000"
28,Lohas Park・Phase 9A Marini・Tower 3 (3A)・Lower Floor・Flat C,Lohas Park,380 ft²,2022-05-02,"14,000"
29,Metro City・Phase 1・Tower 5・Upper Floor・Flat G,Po Lam,701 ft²,2022-05-02,"20,700"
30,Faber Garden・Block D・Middle Floor・Flat D2,Kowloon Tong,496 ft²,2022-05-02,"17,000"
31,Tsuen Fung Centre・Middle Floor・Flat B,Tsuen Wan Town Centre,336 ft²,2022-05-02,"13,000"
32,Century Link・Phase 1・Tower 6B・Middle Floor・Flat 3,Tung Chung Town Centre,471 ft²,2022-05-02,"13,800"
33,Villa Esplanada・Phase 3・Block 8・Upper Floor・Flat H,Tsing Yi,703 ft²,2022-05-02,"22,000"
34,King's Park Hill・Tower 6 (No. 78)・Middle Floor・Flat B,King's Park,"1,215 ft²",2022-05-02,"58,000"
35,Palatial Crest・Lower Floor・Flat A,Mid-Levels West,721 ft²,2022-05-01,"28,500"
36,Chi Fu Fa Yuen・Fu Yip Yuen (Block H-9)・Upper Floor・Flat A,Pok Fu Lam,439 ft²,2022-05-01,"15,500"
37,Yue On Court・Wu On House (Block G)・Middle Floor・Flat 6,Ap Lei CHau,469 ft²,2022-05-01,"14,000"
38,Chi Fu Fa Yuen・Fu On Yuen (Block H-3)・Lower Floor・Flat F,Pok Fu Lam,588 ft²,2022-05-01,"15,500"
39,Chi Fu Fa Yuen・Fu Hing Yuen (Block H-20)・Lower Floor・Flat D,Pok Fu Lam,439 ft²,2022-05-01,"18,500"
40,Double Cove・Phase 2 Double Cove Starview・Block 18・Lower Floor・Flat H,Ma On Shan,793 ft²,2022-05-01,"27,000"
41,Yue Tin Court・Yue Kin House (Block C)・Lower Floor・Flat 1,Siu Lek Yuen,466 ft²,2022-05-01,"15,300"
42,Noble Hill・Tower 1・Upper Floor・Flat D,Sheung Shui,442 ft²,2022-05-01,"12,000"
43,Century Link・Phase 1・Tower 3B・Upper Floor・Flat 3,Tung Chung Town Centre,471 ft²,2022-05-01,"14,400"
44,Constellation Cove,Pak Shek Kok | Tai Po Mid-levels,"2,216 ft²",2022-05-01,"58,000"
45,Granville Garden・Tower 3・Upper Floor・Flat F,Tai Wai,640 ft²,2022-05-01,"18,500"
46,Providence Bay・Phase 3 The Graces・Tower 7・Lower Floor・Flat B,Pak Shek Kok | Tai Po Mid-levels,"1,019 ft²",2022-05-01,"26,000"
47,Fanling Town Center・Amber Court (Block 1)・Middle Floor・Flat F,Fanling,399 ft²,2022-05-01,"11,500"
48,Fanling Centre・Phase 2・Block H・Middle Floor・Flat 5,Fanling,366 ft²,2022-05-01,"11,000"
49,Fanling Town Center・Elegant Court (Block 5)・Upper Floor・Flat B,Fanling,399 ft²,2022-05-01,"11,500"
50,City One Shatin・Site 3・Block 31・Upper Floor・Flat B,City One Shatin,451 ft²,2022-05-01,"16,000"
51,City One Shatin・Site 3・Block 30・Lower Floor・Flat E,City One Shatin,451 ft²,2022-05-01,"14,500"
52,City One Shatin・Site 7・Block 36・Upper Floor・Flat H,City One Shatin,307 ft²,2022-05-01,"13,000"
53,City One Shatin・Site 4・Block 39・Middle Floor・Flat B,City One Shatin,284 ft²,2022-05-01,"13,000"
54,Chelsea Court・Tower West (B1)・Middle Floor・Flat H,Tsuen Wan West,464 ft²,2022-05-01,"15,300"
55,Parc City・Tower 6・Middle Floor・Flat A,Tsuen Wan West,537 ft²,2022-05-01,"20,000"
56,Lohas Park・Phase 8 Sea To Sky・Tower 1・Lower Floor・Flat F,Lohas Park,466 ft²,2022-05-01,"15,500"
57,The Metro City・Phase 2・Tower 10・Upper Floor・Flat G,Po Lam,363 ft²,2022-05-01,"13,800"
58,Greenfield Garden・Phase 1・Tower 4・Upper Floor・Flat D,Tsing Yi,501 ft²,2022-05-01,"16,300"
59,Mont Vert・Phase 1・Tower 9・Middle Floor・Flat H,Tai Po Town Centre,196 ft²,2022-05-01,"8,300"
60,The Panorama・Middle Floor・Flat H,Belvedere,671 ft²,2022-05-01,"16,300"
61,Belvedere Garden・Phase 1・Block 1・Middle Floor・Flat H,Belvedere,644 ft²,2022-05-01,"17,000"
62,Bellagio・Phase 2・Tower 5・Middle Floor・Flat E,Sham Tseng,575 ft²,2022-05-01,"17,200"
63,Royal Ascot・Phase 1・Block 2・Lower Floor・Flat F,Fo Tan,"1,370 ft²",2022-05-01,"35,500"
64,St Martin・Phase 2・Tower 11・Upper Floor・Flat B5,Pak Shek Kok | Tai Po Mid-levels,465 ft²,2022-05-01,"16,000"
65,The Grandville・Tower E・Upper Floor・Flat B,Fo Tan,"1,102 ft²",2022-05-01,"34,000"
66,Festival City・Phase 3・Tower 5・Middle Floor・Flat Sc,Tai Wai,844 ft²,2022-05-01,"27,000"
67,Belvedere Garden・Phase 1・Block 1・Upper Floor・Flat D,Belvedere,644 ft²,2022-05-01,"18,000"
68,Bayview Garden・Block 2・Upper Floor・Flat D,Belvedere,708 ft²,2022-05-01,"19,000"
69,East Point City・Block 5・Upper Floor・Flat B,Hang Hau,466 ft²,2022-05-01,"14,500"
70,Lohas Park・Phase 8 Sea To Sky・Tower 1・Upper Floor・Flat E,Lohas Park,467 ft²,2022-05-01,"16,000"
