,District,SA (ft2),Price(HK$),Date,Floor,Price/ft2(SA)
551,Tsuen Wan Town Centre,391,12500,2022-04-30,L,31.97
552,Sai Wan Ho,210,10800,2022-04-30,H,51.43
553,Olympic Station,548,21500,2022-04-30,H,39.23
554,Lohas Park,807,26800,2022-04-30,M,33.21
555,Lohas Park,775,21000,2022-04-30,H,27.1
556,Lohas Park,498,13800,2022-04-30,M,27.71
557,Lohas Park,316,12500,2022-04-30,H,39.56
558,Mid-Levels East,2137,80000,2022-04-30,L,37.44
559,Tung Chung Town Centre,388,11500,2022-04-30,L,29.64
560,Pak Shek Kok | Tai Po Mid-levels,604,19800,2022-04-30,H,32.78
561,Tung Chung Town Centre,527,15500,2022-04-30,M,29.41
562,Tung Chung Town Centre,562,15500,2022-04-30,L,27.58
563,Lohas Park,482,15000,2022-04-30,H,31.12
564,Kai Tak New Area,460,16000,2022-04-30,M,34.78
565,Chi Lok,580,12500,2022-04-30,L,21.55
566,Four Little Dragons,512,17000,2022-04-30,M,33.2
567,Tiu Keng Leng,629,19000,2022-04-30,L,30.21
568,Long Ping,532,15500,2022-04-30,M,29.14
569,Nam Cheong Station,440,23000,2022-04-29,M,52.27
570,Lohas Park,1054,36000,2022-04-29,H,34.16
571,Lohas Park,789,23800,2022-04-29,L,30.16
572,Kai Tak New Area,654,25000,2022-04-29,H,38.23
573,Pak Shek Kok | Tai Po Mid-levels,457,15800,2022-04-29,L,34.57
574,Mid-Levels West,705,32000,2022-04-29,M,45.39
575,Kai Tak New Area,451,17000,2022-04-29,M,37.69
576,Kai Tak New Area,451,16500,2022-04-29,M,36.59
577,Tai Wai,476,18500,2022-04-28,H,38.87
578,Kowloon Station,1125,51000,2022-04-28,H,45.33
579,Tseung Kwan O,406,14500,2022-04-28,M,35.71
580,Yau Yat Tsuen,628,25000,2022-04-28,H,39.81
581,Kowloon Station,672,33500,2022-04-28,M,49.85
582,Heng Fa Chuen,840,30000,2022-04-28,H,35.71
583,Mid-Levels West,358,13800,2022-04-28,H,38.55
584,Four Little Dragons,492,16500,2022-04-28,L,33.54
585,Choi Hung,2731,100000,2022-04-28,H,36.62
586,Lohas Park,468,15500,2022-04-28,H,33.12
587,North Point,741,32500,2022-04-28,M,43.86
588,Tai Hang Mid-Levels,1011,46000,2022-04-28,M,45.5
589,Lohas Park,423,15000,2022-04-28,M,35.46
590,Tsuen Wan West,424,15000,2022-04-28,H,35.38
591,Repulse Bay,1199,69000,2022-04-28,M,57.55
592,Pak Shek Kok | Tai Po Mid-levels,714,23000,2022-04-28,M,32.21
593,Kau To Shan,1490,45000,2022-04-28,M,30.2
594,Pak Shek Kok | Tai Po Mid-levels,1102,35000,2022-04-28,H,31.76
595,Kowloon Tong,2102,107000,2022-04-28,H,50.9
596,Mid-Levels East,1035,33500,2022-04-28,H,32.37
597,Lam Tin,517,16279,2022-04-28,H,31.49
598,Residence Bel-air,734,32000,2022-04-27,M,43.6
599,To Kwa Wan,374,12500,2022-04-27,H,33.42
600,Hang Hau,377,15000,2022-04-27,L,39.79
601,Olympic Station,969,45000,2022-04-27,L,46.44
602,Lohas Park,753,23000,2022-04-27,M,30.54
603,Lohas Park,906,27800,2022-04-27,M,30.68
604,Happy Valley,1103,54000,2022-04-27,H,48.96
605,Tung Chung Town Centre,544,12800,2022-04-27,L,23.53
606,Tuen Mun South,216,9200,2022-04-27,H,42.59
607,Mei Foo,670,21000,2022-04-27,H,31.34
608,Happy Valley,1346,55000,2022-04-27,L,40.86
609,Lohas Park,785,23500,2022-04-27,L,29.94
610,Sai Wan Ho,211,11500,2022-04-27,H,54.5
611,Wan Chai,320,14800,2022-04-27,L,46.25
612,Mid-Levels West,792,27500,2022-04-27,L,34.72
613,Siu Hong,467,10800,2022-04-27,M,23.13
614,Tai Wai,784,24000,2022-04-27,M,30.61
615,Kai Tak New Area,512,18300,2022-04-27,M,35.74
616,Kai Tak New Area,332,15000,2022-04-27,M,45.18
617,Wan Chai,612,31500,2022-04-27,H,51.47
618,Yuen Long Station,445,15800,2022-04-27,H,35.51
619,Mid-Levels West,283,17500,2022-04-26,L,61.84
