,P-ASP Date,Building / Address,Floor,Unit,GFA (ft??),SA (ft??),Leased / Sold,Price(HK$),Price/ft2(GFA),Price/ft2(SA),Source
3,30/4/2022,Yau Tong??,23,E,857,687,Leased ,"20,000",@23,@29,CENTURY 21 HOME-LY PROPERTY AGENCY
4,30/4/2022,Yau Tong??,18,B,644,517,Leased ,"15,000",@23,@29,CENTURY 21 HOME-LY PROPERTY AGENCY
5,30/4/2022,Yau Tong??,25,A,939,748,Leased ,"21,500",@23,@29,CENTURY 21 HOME-LY PROPERTY AGENCY
6,30/4/2022,Yau Tong??,22,H,939,748,Leased ,"20,500",@22,@27,CENTURY 21 HOME-LY PROPERTY AGENCY
7,30/4/2022,Yau Tong??,7,C,664,522,Leased ,"16,500",@25,@32,CENTURY 21 HOME-LY PROPERTY AGENCY
8,30/4/2022,Yau Tong??,6,B,669,522,Leased ,"15,700",@23,@30,CENTURY 21 HOME-LY PROPERTY AGENCY
9,30/4/2022,Yau Tong??,10,A,932,748,Leased ,"20,000",@21,@27,CENTURY 21 HOME-LY PROPERTY AGENCY
10,30/4/2022,Yau Tong??,23,D,861,687,Leased ,"21,000",@24,@31,CENTURY 21 HOME-LY PROPERTY AGENCY
11,30/4/2022,Yau Tong??,20,B,660,525,Leased ,"16,600",@25,@32,CENTURY 21 HOME-LY PROPERTY AGENCY
12,30/4/2022,Tseung Kwan O??LOHAS PARK PH 07A MONTARA TWR 02A,H,A,,816,Leased ,"25,000",,@31,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
13,30/4/2022,Tseung Kwan O??LOHAS PARK PH 06 LP6 TWR 01,L,F,,519,Leased ,"16,000",,@31,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
14,29/4/2022,Tseung Kwan O??NAN FUNG PLAZA TWR 02,H,H,962,724,Leased ,"22,000",@23,@30,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
15,29/4/2022,Aberdeen??ON TAI BLDG                             ,H,         A,390,278,Leased ,"12,800",@33,@46,GOOD PROFIT PROPERTY AGENCY                           
16,29/4/2022,Tseung Kwan O??METRO CITY PH 02 TWR 07,M,G,516,363,Leased ,"14,000",@27,@39,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
17,29/4/2022,Tseung Kwan O??NAN FUNG PLAZA TWR 06,H,E,607,447,Leased ,"16,000",@26,@36,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
18,29/4/2022,Tseung Kwan O??NAN FUNG PLAZA TWR 02,M,D,618,450,Leased ,"14,000",@23,@31,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
19,27/4/2022,Tseung Kwan O??BEVERLY GDN PH 01 BLK 01 (PSPS),L,F,504,431,Leased ,"12,800",@25,@30,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
20,26/4/2022,Tseung Kwan O??BEVERLY GDN,L,,,,Leased ,"3,100",,,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
21,26/4/2022,Tseung Kwan O??THE BEAUMOUNT TWR 07,H,F,972,739,Leased ,"18,000",@19,@24,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
22,26/4/2022,Tseung Kwan O??THE WINGS IIIA TWR 05A,L,B,,650,Leased ,"23,800",,@37,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
23,26/4/2022,Tseung Kwan O??CORINTHIA BY THE SEA TWR 02,M,B,,773,Leased ,"40,000",,@52,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
24,25/4/2022,Aberdeen??ABERDEEN CTR BLK I KONG WING COURT      ,L,3,547,448,Leased ,"15,000",@27,@33,GOOD PROFIT PROPERTY AGENCY                           
25,25/4/2022,Aberdeen??ALBERT HSE                              ,H,         B,541,407,Leased ,"13,500",@25,@33,GOOD PROFIT PROPERTY AGENCY                           
26,25/4/2022,Aberdeen??FORTUNE MAN                             ,H,         F,505,415,Leased ,"15,300",@30,@37,GOOD PROFIT PROPERTY AGENCY                           
27,24/4/2022,Yau Tong??,2,C,664,522,Leased ,"15,300",@23,@29,CENTURY 21 HOME-LY PROPERTY AGENCY
28,24/4/2022,Tseung Kwan O??CHOI MING COURT BLK E (HOS),H,8,659,506,Leased ,"13,500",@20,@27,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
29,24/4/2022,Tseung Kwan O??METRO CITY PH 02 TWR 10,H,E,617,441,Leased ,"14,500",@24,@33,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
30,24/4/2022,Tseung Kwan O??METRO CITY PH 02 TWR 11,H,A,617,441,Leased ,"15,500",@25,@35,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
31,24/4/2022,Tseung Kwan O??CHOI MING COURT BLK E (HOS),L,3,659,506,Leased ,"13,000",@20,@26,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
32,24/4/2022,Tseung Kwan O??FINERY PARK BLK 01,H,D,577,420,Leased ,"13,800",@24,@33,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
33,24/4/2022,Tseung Kwan O??METRO CITY PH 02 TWR 10,H,G,515,363,Leased ,"14,000",@27,@39,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
34,24/4/2022,Aberdeen??ABERDEEN CTR BLK B HOI CHU COURT        ,H,1,529,438,Leased ,"14,500",@27,@33,GOOD PROFIT PROPERTY AGENCY                           
35,24/4/2022,Aberdeen??KAM FAT BLDG                            ,??????,         A,539,407,Leased ,"15,500",@29,@38,GOOD PROFIT PROPERTY AGENCY                           
36,23/4/2022,Aberdeen??MARINA HABITAT BLK 02 (SCHS)            ,H,         G,559,427,Leased ,"16,500",@30,@39,GOOD PROFIT PROPERTY AGENCY                           
37,23/4/2022,Aberdeen??SOUTH COAST                             ,L,         B,,265,Leased ,"13,500",,@51,GOOD PROFIT PROPERTY AGENCY                           
38,23/4/2022,Aberdeen??ABERDEEN CTR BLK T KWUN CHIU COURT      ,H,2,915,721,Leased ,"25,500",@28,@35,GOOD PROFIT PROPERTY AGENCY                           
39,22/4/2022,Yau Tong??,6,G,639,517,Leased ,"15,500",@24,@30,CENTURY 21 HOME-LY PROPERTY AGENCY
40,22/4/2022,Tseung Kwan O??THE PAPILLONS TWR 05,L,H,,773,Leased ,"26,500",,@34,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
41,22/4/2022,Tseung Kwan O??HIN MING COURT (HOS),H,12,563,425,Leased ,"12,800",@23,@30,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
42,22/4/2022,Aberdeen??YUE FAI COURT BLK B (HOS)               ,L,4,502,419,Leased ,"12,500",@25,@30,GOOD PROFIT PROPERTY AGENCY                           
43,21/4/2022,Aberdeen??ABERDEEN CTR BLK J KONG HING COURT      ,L,6,534,448,Leased ,"14,000",@26,@31,GOOD PROFIT PROPERTY AGENCY                           
44,21/4/2022,Tseung Kwan O??CHUNG MING COURT BLK B FAI MING HSE (HOS,M,3,515,401,Leased ,"12,500",@24,@31,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
45,19/4/2022,Tseung Kwan O??TONG MING COURT BLK C (HOS),H,15,570,426,Leased ,"13,000",@23,@31,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
46,18/4/2022,Tseung Kwan O??YAN MING COURT BLK D (HOS),H,6,514,401,Leased ,"12,000",@23,@30,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
47,18/4/2022,Tseung Kwan O??PARK CENTRAL PH 02 TWR 02,H,A,617,465,Leased ,"16,800",@27,@36,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
48,18/4/2022,Tseung Kwan O??OCEAN WINGS TWR 07A,L,G,,368,Leased ,"16,000",,@43,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
49,17/4/2022,Yau Tong??LAGUNA CITY PH 04 BLK 09                ,1,         D,857,687,Leased ,"17,000",@20,@25,CENTURY 21 HOME-LY PROPERTY AGENCY                    
50,17/4/2022,Tseung Kwan O??PARK CENTRAL PH 03 TWR 13,H,A,"1,187",905,Leased ,"30,500",@26,@34,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
51,17/4/2022,Tseung Kwan O??METRO CITY PH 02 TWR 05,H,B,904,644,Leased ,"22,500",@25,@35,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
52,17/4/2022,Tseung Kwan O??BEVERLY GDN PH 01 BLK 03 (PSPS),M,B,566,484,Leased ,"14,200",@25,@29,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
53,16/4/2022,Tseung Kwan O??METRO CITY PH 01 TWR 02,L,H,732,526,Leased ,"17,200",@23,@33,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
54,16/4/2022,Tseung Kwan O??TONG MING COURT BLK B (HOS),H,14,570,426,Leased ,"12,000",@21,@28,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
