District,SA (ft2),Price(HK$),Date,Floor,Price/ft2(SA),Estate,District1
Tsuen Wan Town Centre,391,12500,2022-04-30 00:00:00,L,31.97,Victory Court,KWAI TSING
Sai Wan Ho,210,10800,2022-04-30 00:00:00,H,51.43,Parker33,EASTERN
Olympic Station,548,21500,2022-04-30 00:00:00,H,39.23,The Long Beach,YAU TSIM MONG
Lohas Park,807,26800,2022-04-30 00:00:00,M,33.21,Lohas Park,SAI KUNG
Lohas Park,775,21000,2022-04-30 00:00:00,H,27.1,Lohas Park,SAI KUNG
Lohas Park,498,13800,2022-04-30 00:00:00,M,27.71,The Beaumount,SAI KUNG
Lohas Park,316,12500,2022-04-30 00:00:00,H,39.56,Lohas Park,SAI KUNG
Mid-Levels East,2137,80000,2022-04-30 00:00:00,L,37.44,Stubbs Villa,WAN CHAI
Tung Chung Town Centre,388,11500,2022-04-30 00:00:00,L,29.64,Coastal Skyline,ISLANDS
Pak Shek Kok | Tai Po Mid-levels,604,19800,2022-04-30 00:00:00,H,32.78,The Horizon,TAI PO
Tung Chung Town Centre,527,15500,2022-04-30 00:00:00,M,29.41,Tung Chung Crescent,ISLANDS
Tung Chung Town Centre,562,15500,2022-04-30 00:00:00,L,27.58,Seaview Crescent,ISLANDS
Lohas Park,482,15000,2022-04-30 00:00:00,H,31.12,Lohas Park,SAI KUNG
Kai Tak New Area,460,16000,2022-04-30 00:00:00,M,34.78,Summit,YAU TSIM MONG
Chi Lok,580,12500,2022-04-30 00:00:00,L,21.55,Alpine Garden,TUEN MUN
Four Little Dragons,512,17000,2022-04-30 00:00:00,M,33.2,Banyan Garden,SHAM SHUI PO
Tiu Keng Leng,629,19000,2022-04-30 00:00:00,L,30.21,Metro Town,SAI KUNG
Long Ping,532,15500,2022-04-30 00:00:00,M,29.14,Sol City,YUEN LONG
Nam Cheong Station,440,23000,2022-04-29 00:00:00,M,52.27,Cullinan West,SHAM SHUI PO
Lohas Park,1054,36000,2022-04-29 00:00:00,H,34.16,Lohas Park,SAI KUNG
