,stock,price@12/05/2022
0,INTC,42.54
1,AMD,86.02
2,TSM,86.405
3,UMC,7.855
4,ASX,6.23
5,AMKR,18.375
6,IMOS,30.31
7,KLIC,49.62
8,SNPS,258.8
9,CDNS,134.06
10,CRUS,74.94999999999999
11,LSCC,44.68
12,AMAT,103.78
13,ASML,513.71
14,LRCX,448.945
15,KLAC,310.33500000000004
16,TER,99.56
17,MU,66.93
18,TXN,163.845
19,ADI,151.39999999999998
20,AVGO,563.335
21,SLAB,136.36
22,QCOM,130.7
23,MRVL,51.855000000000004
24,NVDA,160.445
25,ATI,25.915
26,NTAP,69.295
27,NXPI,170.70999999999998
28,STM,36.585
29,RMBS,23.435
30,HPQ,35.575
31,IBM,131.54500000000002
32,BBY,85.28
33,A,114.16
34,FLEX,15.68
35,CLS,10.05
36,JBL,55.89
37,AAPL,141.755
38,NOK,4.6274999999999995
39,ERIC,7.38
40,CSCO,48.225
41,KOPN,1.1175000000000002
42,SWKS,98.42
43,T,19.424999999999997
44,JNPR,29.955
45,CIEN,50.315
46,LPL,6.43
47,GLW,34.745000000000005
48,FSLR,60.42
49,SPWR,13.435
50,MSFT,254.85
51,ORCL,70.13499999999999
52,ADBE,378.72
53,NLOK,23.975
54,CHKP,120.79
55,VRSN,164.38
56,CRM,158.14
57,DXC,27.634999999999998
58,SPLK,88.095
59,GOOG,2228.26
60,FB,187.46
61,NFLX,166.965
62,AMZN,2081.7200000000003
63,EBAY,46.019999999999996
64,BABA,80.45
65,BIDU,105.94
66,WB,19.905
