,stock,price@24/03/2020,price@27/12/2021,change rate 1,price@12/05/2022,change rate 2,#VALUE!,
25,ATI,5.65,15.735,178.4955752,25.915,39.28226896,TRUE,
43,T,19.105,18.5,-3.166710285,19.425,4.761904762,FALSE,
54,CHKP,91.49,115.51,26.25423544,120.79,4.371222783,TRUE,
31,IBM,92.79,129.56,39.62711499,131.545,1.508989319,TRUE,
30,HPQ,14.425,37.68,161.2131716,35.575,-5.917076599,TRUE,43.5970766
47,GLW,18.845,36.985,96.25895463,34.745,-6.446970787,TRUE,43.43197079
53,NLOK,17.005,26,52.896207,23.975,-8.446298227,TRUE,34.44629823
35,CLS,2.94,11.13,278.5714286,10.05,-10.74626866,TRUE,21.87626866
19,ADI,90.08,173.815,92.9562611,151.4,-14.80515192,TRUE,188.6201519
34,FLEX,7.42,18.025,142.9245283,15.68,-14.95535714,TRUE,32.98035714
18,TXN,100.765,188.685,87.25251824,163.845,-15.16067015,TRUE,203.8456701
44,JNPR,18.16,34.565,90.33590308,29.955,-15.38975129,TRUE,49.95475129
7,KLIC,19.155,57.275,199.0080919,49.62,-15.42724708,TRUE,72.70224708
32,BBY,55.185,98.54,78.56301531,85.28,-15.54878049,TRUE,114.0887805
6,IMOS,16.54,35.355,113.7545345,30.31,-16.64467173,TRUE,51.99967173
20,AVGO,202.625,667.275,229.3152375,563.335,-18.45083299,TRUE,685.725833
57,DXC,13.34,32.755,145.5397301,27.635,-18.52722996,TRUE,51.28222996
0,INTC,51.225,51.245,0.039043436,42.54,-20.46309356,FALSE,71.70809356
10,CRUS,59.495,92.41,55.3239768,74.95,-23.29553035,TRUE,115.7055304
4,ASX,3.455,7.71,123.154848,6.23,-23.75601926,TRUE,31.46601926
29,RMBS,10.495,29.415,180.2763221,23.435,-25.51738852,TRUE,54.93238852
37,AAPL,60.115,178.71,197.2802129,141.755,-26.06962717,TRUE,204.7796272
36,JBL,21.26,70.605,232.10254,55.89,-26.32850242,TRUE,96.93350242
5,AMKR,7.705,23.42,203.9584685,18.375,-27.45578231,TRUE,50.87578231
51,ORCL,45.83,89.455,95.188741,70.135,-27.54687389,TRUE,117.0018739
40,CSCO,36.59,62.915,71.94588685,48.225,-30.46137895,TRUE,93.37637895
58,SPLK,121.315,115.015,-5.193092363,88.095,-30.55792043,FALSE,145.5729204
26,NTAP,36.435,91.45,150.9949225,69.295,-31.97200375,TRUE,
59,GOOG,1119.115,2955.275,164.0725037,2228.26,-32.62702737,TRUE,
50,MSFT,145.13,338.955,133.5526769,254.85,-33.00176574,TRUE,
27,NXPI,83.33,230.165,176.2090484,170.71,-34.828071,TRUE,
65,BIDU,95.805,142.935,49.19367465,105.94,-34.92070984,TRUE,
28,STM,19.625,49.575,152.611465,36.585,-35.50635506,TRUE,
38,NOK,2.925,6.31,115.7264957,4.6275,-36.35872501,TRUE,
15,KLAC,127.2,430.605,238.5259434,310.335,-38.7548939,TRUE,
33,A,65.765,158.55,141.0856839,114.16,-38.88402242,TRUE,
17,MU,42.46,93.96,121.2906265,66.93,-40.38547736,TRUE,
2,TSM,47.535,121.665,155.9482487,86.405,-40.80782362,TRUE,
22,QCOM,64.455,184.385,186.0677992,130.7,-41.07498087,TRUE,
9,CDNS,61.135,190.27,211.2292467,134.06,-41.92898702,TRUE,
63,EBAY,27.3,65.435,139.6886447,46.02,-42.18817905,TRUE,
8,SNPS,117.455,371.98,216.7000128,258.8,-43.73261206,TRUE,
48,FSLR,34.26,87.93,156.6549912,60.42,-45.53128103,TRUE,
64,BABA,184.42,117.195,-36.45212016,80.45,-45.67433188,FALSE,
39,ERIC,7.28,10.84,48.9010989,7.38,-46.88346883,TRUE,
3,UMC,2.215,11.755,430.6997743,7.855,-49.64990452,TRUE,
66,WB,35.43,29.91,-15.58001693,19.905,-50.26375283,FALSE,
21,SLAB,81.19,206.685,154.5695283,136.36,-51.57304195,TRUE,
46,LPL,4.24,9.785,130.7783019,6.43,-52.17729393,TRUE,
52,ADBE,316.48,576.36,82.11577351,378.72,-52.18631179,TRUE,
45,CIEN,37.87,76.825,102.8650647,50.315,-52.68806519,TRUE,
55,VRSN,164.825,251.19,52.39799788,164.38,-52.8105609,FALSE,
12,AMAT,44.26,159.31,259.9412562,103.78,-53.50741954,TRUE,
49,SPWR,4.38,20.735,373.4018265,13.435,-54.33569036,TRUE,
13,ASML,254.465,799.94,214.3615035,513.71,-55.71820677,TRUE,
42,SWKS,82.77,154.52,86.68599734,98.42,-57.00060963,TRUE,
14,LRCX,217.48,711.94,227.3588376,448.945,-58.58067247,TRUE,
56,CRM,149.135,255.845,71.55262011,158.14,-61.7838624,TRUE,
62,AMZN,1945.8,3407.065,75.0984171,2081.72,-63.66586284,TRUE,
16,TER,50.375,166.2,229.9255583,99.56,-66.93451185,TRUE,
23,MRVL,20.9,89.33,327.4162679,51.855,-72.26882654,TRUE,
11,LSCC,15.75,78.045,395.5238095,44.68,-74.67547001,TRUE,
1,AMD,45.13,150.935,234.4449368,86.02,-75.46500814,TRUE,
60,FB,158.095,342.515,116.6513805,187.46,-82.71364558,TRUE,
24,NVDA,59.705,303,407.4951847,160.445,-88.8497616,TRUE,
61,NFLX,363.655,614.06,68.85784604,166.965,-267.777678,FALSE,
41,KOPN,0.27,4.335,1505.555556,1.1175,-287.9194631,TRUE,
